userid,content,star_rating,time
khm9***,예뻐요 예전에 쓰던거 잃어버려서 새로 샀는데 벤티 음료 사마실때 너무 좋아요!,5,2024-01-09T13:30:15.226+00:00
yimh****,둘째 얼집 선생님들께 크리스마스 선물하려고 구매했어요. 구매수량 모두 하자없는 제품으로 받았고  배송도 빠르고 지금 따뜻한 차 한잔 마셔보려고요~ 괜찮으면 재구매할게요,5,2023-12-07T12:38:23.705+00:00
mrho****,가격은 살짝 있지만.. 큰 사이즈가 필요한 저에게 가장 현명한 선택이었습니다 감사합니다,5,2023-12-20T13:34:47.022+00:00
pmr8*****,가볍고 빨대닦는 솔도있어서 좋아요,5,2024-01-04T08:52:45.063+00:00
wjdd********,배송도 빠르고 넘 좋아요! 빨대솔도 주셔서 너무 좋네용,5,2023-12-12T05:04:51.691+00:00
rlar********,판매자님 친절하시고 콜드컵도 잘쓰고 있어서 핫컵도 구매,5,2023-11-17T03:57:25.109+00:00
ma****,스타벅스 감성이 가격의 99퍼 차지 가성비 그 자체 결로현상이나 콜드컵의 기능을 원하신다면 더 비싼 제품을 추천,4,2023-10-09T14:34:56.573+00:00
juli***,너무 커서 한손에 잘 안잡히지만 이뻐요~~~~~~~,5,2023-09-15T07:48:24.039+00:00
dusg********,너무 좋아서 재구매한 컵인데요! 자취하는 친구에게 선물해주고 싶어서 또 재구매할 예정이예요~!!,5,2023-08-27T03:17:29.031+00:00
6s****,막들고 다니기 넘 좋아요,5,2023-10-02T06:25:09.600+00:00
wing*****,좋습니다! 가벼운 걸 찾고 있었는데 딱이예요!,5,2023-09-06T13:09:36.139+00:00
wing*****,좋습니다! 배송도 빠르고요!!,5,2023-09-06T13:10:14.959+00:00
dash****,넘넘 좋아요 스크래치 하나없이 좋은 제품으로 받았어요!! 품절 풀리면 다른것도 사려구용 !!!,5,2023-08-19T03:29:25.365+00:00
sung****,와이프가 집에서 커피 타갈 용도로 샀는데 마음에 들어하네요,5,2023-09-01T05:49:05.730+00:00
adfd*****,와이프가 좋아해요 만족합니다,5,2023-08-09T11:26:11.211+00:00
dusg********,재작년에 사고 또 사요! 이번에는 아빠가 제 음료수컵 너무 좋다고 탐내서 재구매했어요~~ 다음에도 또 살게요!,5,2023-07-28T02:06:53.026+00:00
hall****,벤티콜드컵 두번째구매입니다 이번엔 빨대파우치도 사봤는데 이건좀 허접이긴하나.. 그래도 필요해서 사봤어요,5,2023-08-01T02:14:08.352+00:00
arch****,미국에  물건너온 제품이라 그런지~~이뻐여. 잘 쓰겠습니다.,5,2023-07-16T04:32:02.433+00:00
gimm*****,쓰던제품 망가져서 다시 구매했어요,5,2023-07-25T08:15:19.021+00:00
mako***,잘받았습니다~~~~~ 잘쓸게요,5,2023-08-15T14:10:27.049+00:00
mako***,잘받았습니다~~~~ㅎㅎ,5,2023-08-15T14:10:09.031+00:00
ccsh****,편하고 예쁘게 잘 쓰고 있어요,5,2023-07-16T02:22:45.196+00:00
ssse******,배송이 아주 쪼오끔 오래걸렸는데 투명 빨대도 추가로 보내주셨어욥 너무 감사합니다!,5,2023-07-04T10:17:09.074+00:00
arch****,제픔 기격대비 좋아여.,5,2023-07-16T04:32:36.880+00:00
herm******,사무실에서 잘 사용중입니다!,5,2023-08-01T23:36:00.458+00:00
gywj*****,만족스러운 소비! 집에서 사용하기도 좋고 카페에 가져가서 사용하고 들고오기도 가벼워서 너무 좋아요,5,2023-06-27T07:50:42.806+00:00
high******,아주아주아주 좋아요!!!!,5,2023-07-31T04:15:09.307+00:00
dltm****,가볍고 쓰기폄함 ㄱㅅ,4,2023-07-09T13:39:07.764+00:00
haha********,제품이좋아요 하지만 조금약하여 떨어지니 깨집니다.,5,2023-05-20T11:57:18.010+00:00
dooc***,빠른 배송 감사합니다.  상품 좋아요,5,2023-06-21T03:44:09.180+00:00
jihy****,스벅이기에 구매..스벅이라 좋아여~,5,2023-06-10T06:53:48.020+00:00
kimd********,콜드컵이긴 한데 찬 음료 담으면 물방울이 맺혀요... 그 부분만 아쉽고 나머지는 다 맘에 들어요 가벼워서 들고다니기도 좋고 딸려오는 세척솔로 세척하기에도 간편합니다~!! 한 개 더 구매하려고요ㅎㅎ,5,2023-05-03T16:24:09.156+00:00
hun4*****,매일 컵에다가 마시다가 텀블러에 마시니 좋네요 ^^ 누나가 보자마자 자기것도 시켜달래서 다시 하나더 주문했습니다 ㅋㅋ,5,2023-05-17T04:39:45.830+00:00
zx****,가격배송매우만족합니다,5,2023-05-26T06:34:00.426+00:00
spdh*****,가성비 최고네요 감사합니다 또 시킬께요~!!,5,2023-05-17T13:23:12.437+00:00
loft***,좋아좋아 좋아좋아 좋아좋아 요,4,2023-07-11T06:51:02.829+00:00
spdh*****,가성비 최고네요 감사합니다~!!,5,2023-05-17T13:18:18.701+00:00
whdm******,간단하게 사용하긴 좋아요 돌답례로 드렸는데 아쉽기도해요,5,2023-05-25T20:17:43.245+00:00
alwj*****,미쳤습니다!! 배송이 어제 오후 2시쯤에 시켰는데 그 다음날인 오늘 오후 2시에 받았습니다 진짜 너무 빨라서 짱 행복해요. 텀블러 생각보다 딴딴하고 튼튼하네요! 스벅 콜드컵은 다 얇은 빨대만 들어가게 뚜껑에 구멍이 작아서 고민하다가 집에 스벅 50주년 리유저블 텀블러 돔리드 있어서 혹시나 맞을까하고 시켜봤는데 딱맞아서 너무 행복합니다. 이제 이 텀블러에 돔리드 씌워서 버블티 빨대 사용해서 버블티랑 스무디도 먹을거에요오오,5,2023-03-31T06:09:32.679+00:00
hun4*****,누나도 좋아 합니다,5,2023-05-19T07:13:49.143+00:00
hana***,가격대비 관찮아요 ㅎㅎ,5,2023-05-17T10:35:22.282+00:00
oksk****,좋아요 숭구리당당 쓰기 좋음ㅋ,5,2023-05-09T04:26:06.997+00:00
smil********,사진과 같고 예뻐요 !!,5,2023-06-05T22:46:50.223+00:00
haha********,제품이좋아 재구매합니다 감사합니다,5,2023-04-15T12:25:18.845+00:00
seol*******,가볍고 예쁘고 에코별도 받고 좋아요!,5,2023-05-11T11:06:31.791+00:00
feyi************,딱 아이스만 먹기에 넘 편하고 조아요 처음엔 빨대 쓰다가 닦는게 귀찮아서.. 플리스틱 빨대만 쓰는 중이에여 근데 가성비 넘쳐요 짱 조음 딱 프랜차이즈 큰 거 사이즈 다 들어갈만큼 조아요,5,2023-05-03T15:26:49.539+00:00
